moneda,rating,link_producto,id,precio_num,marca,modelo_descripcion,almacenamiento_gb
S/,4.8,https://www.mercadolibre.com.pe/celular-xiaomi-poco-x7-pro-5g-12gb-512gb-negro/p/MPE45766004#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE705332580&sid=search,21,1999.5,Xiaomi,Poco X7 Pro 5g - 12gb 512gb // Negro,12.0
S/,4.9,https://www.mercadolibre.com.pe/samsung-galaxy-s25-ultra-512gb-titanium-gray/p/MPE45515203#polycard_client=search-nordic&search_layout=grid&position=22&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE799828316&sid=search,22,6499.5,Samsung,Galaxy S25 Ultra 512gb Titanium Gray,512.0
S/,4.0,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=5KEIutZr6NUxCgGiCvzMpxoZQQokD0YHvVMDZQPzOoLgEVygdWN%2Fl9ZObe2nRuRUgPCovomyn8ySQMjKwUN7nW9CAvLQ1D%2BlF%2Fq%2BUb4L9ijPimXfU8IPQZZu%2BAwghRhizujl5OrsOBbhgGek9sXQKm%2BB11TnCD2RcZoWyI7Gwnp6Gh5aeDNlNfAihpaWL5sLEXEj82Pr3eN9rP3S9%2BfOq4pxK%2BFnosEejPDv2RW5N7UbCMyQ4DQqw0lvsRcQLt7h3X98x8gKZrDduu8LRLyJLU2BaGFkaheUhBY0Sm8Ca2AV11dXcZLKzlo3g6ewdOXyGak1Wqkl0Z2Oh0KB9aDHdit2WC5vf6ZTuEZ%2BoRca9XxeimFKmxDyIO0vO0UWmBYoHiJkdB7fB0W8ilDgyBf2ZciRyrI8hKokqkO4hGMD%2FdpmR2jZgig2%2FoDXEkOUhQmFsDp%2BW89kjXiv9qkgewObgN5FnvtW8Fg4hYL4CACyV2sujPo86v7kvVUHQ2T7CNSDFXGpi2u0%2FITGJwg%2BqqeHqFEtxkt7LpFfRaJ4zaIexh9m1EmZxI3H%2FldyN%2FAjV%2BZK%2Fp9mSajHwtAPCXHA9cvt032CidRRo0LyrPeUjdtGJvUhe9kRN0%2BW2o%2BfBjN2tXGnCxNlRSxV9AnPIywRCRc0dANl1Td0dJdyo160pTzpTJvP03XG8Zob7E5o9jSJBxhGira7H3dzjB6OgZD6L1ElZcrcP5%2BHhIt1lAdXfahREHgioYx8aq8iAzVjxIv0HIW6T5m0%2FDu%2Bin2Q2%2BN2NUMbg18ZC0pm4eZ73F4%2FzyXAOfSuA2fEb%2Brz1XsBz2E2Mi%2BqDxtuCY1kWGq8TNZZXRiqKc6AMYERX6Y9i%2BEme4CwXlKVnsD%2Fpruxdi9Vo4GZEWmxjwcIeOhiKZMIRSiw9AgOmWgt%2F6hwc5BZKdRxWP3TmfHjkWaPHjVM7hPff5xLBuwO#polycard_client=search-nordic&is_advertising=true&searchVariation=MPEU3249404444&backend_model=search-backend&search_layout=grid&position=23&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE741848740&sid=search,23,1332.5,Samsung,Galaxy A36 5g 6 Gb Ram 128 Gb Rom Negro Negro,6.0
S/,2.0,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=SB%2F8D7DEVNl5FOLYmm6FAQvdzTQQgg%2B9gXCTeGexMisiRd2ndgZPBWNHz01OaSHwvDU65GQEwVJzYuKpedfzREfH7YXG2c%2BmCj%2B0k6l%2Fjy81Y6p%2BMj6nXADDJMI0UGzQk%2Btk4GOHHHLqRbFH1%2F3uPcvnL3qgVeXpky0kTwsLuBbcSsaslFFUJ90co3e%2FXQ2smi0kxA3kZK8EHOazEEPML%2BLbFFe7UB9cMqF2HUSBVxd%2B%2FkUkgLs6bwSlM7GIwp40AR0CCe0Ts6EMNJI9IYeLlhZs9m8ouL1aE9PjngpMp%2BbFegsNpAWBalN8jOjKY%2BWqKBZ9f9To3fwNBdkekUasEG5h9nvjZyE01dKt6IlUCYxEk%2FFbaQuBHXIeF84hLITlB6tQ%2BoP%2BohR3CBBdFqQSJGorLOVmWt2k4h%2BbGnJi7BXC755lDub%2FNmoBIJW4Zz6ktAfp01l%2FYlKsKYaD2C1WA0jGf0ogqbnzpCTvdtsbel5oHJxaBXrcUVI8b4QMxZyFhaHAZfu6dWU8V7vWNaE7ydfICEBILCGdH5QivvvT%2B7q%2FAzPLfm%2BzaUwiGHyL2UxRF2MM6nKTDxaBtoEh%2BcnCn%2BbYSA3FAa%2F%2FV5wY35zQyARZDHXLSS50D622htmY%2FZ%2Bx%2F5fu7PWXTcDHS5BclCMdOsESnxANEn0mS63ZGM4QiFUH3Ivz3dfdQ%2B7WvKEqqkN5QPKZWwVeF00KNqVbiIOw%2BOx7dZ3yz0iS6Knk1PHh68KVZV2z2%2BWziVV0jnF3bWrd6kn2qOKyxQ4QGI5u7BjU1nMfDPCtv%2BdjN%2FlUj4v1lNm7PtIRTOB%2BwavMxJ40zg4VaqIEYZqV6NFplLP2ZEM6Kw%2Fp3Ste3Ujrf9DgiEHQlnnG3kny1VPsBVqAiGBea9OWdwGPnchQE35EsE%2B7KllPB%2FRkd03hF7WC3iZCBB%2F87AgoPX7NeD%2BAYin6mpFwEQ0eatNKbDClojyRPg%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MPEU3280128607&backend_model=search-backend&search_layout=grid&position=24&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE763662104&sid=search,24,169.51,,"Logic F11l 4g Botón Sos, Teclas Grandes Con Radio Fm Negro",
S/,4.8,https://www.mercadolibre.com.pe/apple-iphone-16-128-gb-verde-azulado/p/MPE40287792#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE689927192&sid=search,25,4499.83,Apple,16 (128 GB) - Verde azulado,128.0
S/,4.9,https://www.mercadolibre.com.pe/apple-iphone-16-pro-128-gb-titanio-del-desierto/p/MPE40287847#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE699767438&sid=search,26,6599.0,Apple,16 Pro (128 GB) - Titanio del desierto,128.0
S/,4.9,https://www.mercadolibre.com.pe/samsung-galaxy-s25-ultra-5g-dual-sim-512-gb-color-blanco/p/MPE46687988#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE799893144&sid=search,27,6499.5,Samsung,Galaxy S25 Ultra 5g Dual Sim 512 Gb Color Blanco,512.0
S/,4.8,https://www.mercadolibre.com.pe/cel-samsung-a56-12-gb-ram-256-gb-5g-67-pulgadas-verde/p/MPE48954480#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE873253238&sid=search,28,1800.75,Samsung,A56 12 Gb Ram 256 Gb 5g 6.7 Pulgadas Verde,12.0
S/,4.9,https://www.mercadolibre.com.pe/apple-iphone-17-pro-max-256-gb-naranja-cosmico/p/MPE55308620#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE853986050&sid=search,29,5599.64,Apple,17 Pro Max (256 GB) - Naranja cósmico,256.0
S/,4.9,https://www.mercadolibre.com.pe/samsung-galaxy-s25-ultra-512gb-12gb-sellados-color-titanium-silverblue/p/MPE53594532#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE790442504&sid=search,30,6499.5,Samsung,Galaxy S25 Ultra 512gb 12gb Sellados Color Titanium Silverblue,512.0
